route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
01_1,,n/a-01_1,Route_01_1,,3,,,
01_2,,n/a-01_2,Route_01_2,,3,,,
02_1,,n/a-02_1,Route_02_1,,3,,,
02_2,,n/a-02_2,Route_02_2,,3,,,
03A_1,,n/a-03A_1,Route_03A_1,,3,,,
03A_2,,n/a-03A_2,Route_03A_2,,3,,,
07_1,,n/a-07_1,Route_07_1,,3,,,
07_2,,n/a-07_2,Route_07_2,,3,,,
09_1,,n/a-09_1,Route_09_1,,3,,,
09_2,,n/a-09_2,Route_09_2,,3,,,
11_2,,n/a-11_2,Route_11_2,,3,,,
12_1,,n/a-12_1,Route_12_1,,3,,,
12_2,,n/a-12_2,Route_12_2,,3,,,
16_1,,n/a-16_1,Route_16_1,,3,,,
16_2,,n/a-16_2,Route_16_2,,3,,,
18_1,,n/a-18_1,Route_18_1,,3,,,
18_2,,n/a-18_2,Route_18_2,,3,,,
20A_1,,n/a-20A_1,Route_20A_1,,3,,,
20A_2,,n/a-20A_2,Route_20A_2,,3,,,
20B_1,,n/a-20B_1,Route_20B_1,,3,,,
20B_2,,n/a-20B_2,Route_20B_2,,3,,,
22A_1,,n/a-22A_1,Route_22A_1,,3,,,
22A_2,,n/a-22A_2,Route_22A_2,,3,,,
23_1,,n/a-23_1,Route_23_1,,3,,,
23_2,,n/a-23_2,Route_23_2,,3,,,
24_1,,n/a-24_1,Route_24_1,,3,,,
24_2,,n/a-24_2,Route_24_2,,3,,,
25_1,,n/a-25_1,Route_25_1,,3,,,
25_2,,n/a-25_2,Route_25_2,,3,,,
26_1,,n/a-26_1,Route_26_1,,3,,,
26_2,,n/a-26_2,Route_26_2,,3,,,
27_1,,n/a-27_1,Route_27_1,,3,,,
27_2,,n/a-27_2,Route_27_2,,3,,,
28_1,,n/a-28_1,Route_28_1,,3,,,
28_2,,n/a-28_2,Route_28_2,,3,,,
30_1,,n/a-30_1,Route_30_1,,3,,,
30_2,,n/a-30_2,Route_30_2,,3,,,
32_1,,n/a-32_1,Route_32_1,,3,,,
32_2,,n/a-32_2,Route_32_2,,3,,,
34_1,,n/a-34_1,Route_34_1,,3,,,
34_2,,n/a-34_2,Route_34_2,,3,,,
35A_1,,n/a-35A_1,Route_35A_1,,3,,,
35A_2,,n/a-35A_2,Route_35A_2,,3,,,
38_1,,n/a-38_1,Route_38_1,,3,,,
38_2,,n/a-38_2,Route_38_2,,3,,,
40_2,,n/a-40_2,Route_40_2,,3,,,
41_1,,n/a-41_1,Route_41_1,,3,,,
41_2,,n/a-41_2,Route_41_2,,3,,,
45_1,,n/a-45_1,Route_45_1,,3,,,
45_2,,n/a-45_2,Route_45_2,,3,,,
49_1,,n/a-49_1,Route_49_1,,3,,,
49_2,,n/a-49_2,Route_49_2,,3,,,
50_1,,n/a-50_1,Route_50_1,,3,,,
50_2,,n/a-50_2,Route_50_2,,3,,,
51_1,,n/a-51_1,Route_51_1,,3,,,
51_2,,n/a-51_2,Route_51_2,,3,,,
84_2,,n/a-84_2,Route_84_2,,3,,,
86_1,,n/a-86_1,Route_86_1,,3,,,
86_2,,n/a-86_2,Route_86_2,,3,,,
90_1,,n/a-90_1,Route_90_1,,3,,,
90_2,,n/a-90_2,Route_90_2,,3,,,
99_1,,n/a-99_1,Route_99_1,,3,,,
99_2,,n/a-99_2,Route_99_2,,3,,,
104_1,,n/a-104_1,Route_104_1,,3,,,
104_2,,n/a-104_2,Route_104_2,,3,,,
105_1,,n/a-105_1,Route_105_1,,3,,,
105_2,,n/a-105_2,Route_105_2,,3,,,
107_1,,n/a-107_1,Route_107_1,,3,,,
107_2,,n/a-107_2,Route_107_2,,3,,,
BRT01_1,,n/a-BRT01_1,Route_BRT01_1,,3,,,
BRT01_2,,n/a-BRT01_2,Route_BRT01_2,,3,,,
